businesses.name,businesses.url,businesses.review_count,businesses.rating,businesses.location$address1,businesses.location$address2,businesses.location$address3,city,zip_code,businesses.location$country,businesses.location$state,businesses.display_phone,businesses.distance
3 Dollar Bill,https://www.yelp.com/biz/3-dollar-bill-brooklyn?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,69,3.6,260 Meserole St,NA,,Brooklyn,11206,US,NY,(718) 366-3031,21924.87
4West Lounge,https://www.yelp.com/biz/4west-lounge-new-york?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,18,3.9,303 W 127th St,NA,,New York,10027,US,NY,,12148.331
9th Avenue Saloon,https://www.yelp.com/biz/9th-avenue-saloon-new-york?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,104,3.7,656 9th Ave,,,New York,10036,US,NY,(212) 307-1503,23283.89
Adonis Lounge,https://www.yelp.com/biz/adonis-lounge-new-york?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,62,2.8,221 E 58th St,,,New York,10022,US,NY,(845) 536-3323,17575.18
Albatross Bar,https://www.yelp.com/biz/albatross-bar-astoria-2?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,75,4.5,3619 24th Ave,,,Astoria,11103,US,NY,(718) 204-9707,6597.18
ANIMAL,https://www.yelp.com/biz/animal-brooklyn?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,15,3.7,307 Meeker Ave,,NA,Brooklyn,11211,US,NY,(718) 550-0280,21865.6
Atlas Social Club,https://www.yelp.com/biz/atlas-social-club-new-york?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,102,2.6,753 9th Ave,,,New York,10019,US,NY,(212) 262-8527,15749.41
Balcon Salon,https://www.yelp.com/biz/balcon-salon-new-york?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,12,4.1,674 9th Ave,,NA,New York,10036,US,NY,,23353.36
Big Apple Ranch,https://www.yelp.com/biz/big-apple-ranch-new-york-2?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,5,5,320 W 37th St,Fl 2,,New York,10018,US,NY,(917) 974-3401,22580.05
Blue Star a Party For Girls Who Like Girls,https://www.yelp.com/biz/blue-star-a-party-for-girls-who-like-girls-manhattan?adjust_creative=d3YklTKJXdWClZK4UYQ_mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d3YklTKJXdWClZK4UYQ_mg,1,5,The Bowery Electric,,327 Bowery,Manhattan,10003,US,NY,,20075.89
