Metro,ZIP_code,2015_households_all,2015_same_sex_couples,2015_gay_couples_per_1000_household,2015_bars,2026_bars,2024_households_all,2024_same_sex_couples,2024_gay_couples_per_1000_household
NYC,10001,11639,356,30.58682017,2,1,15737,463,29.42110949
NYC,10002,33348,132,3.958258366,0,0,36556,394,10.77798446
NYC,10003,27487,491,17.86298978,3,5,24503,1229,50.15712362
NYC,10004,1574,52,33.03684879,0,0,1865,70,37.53351206
NYC,10005,4252,66,15.52210724,0,0,5248,229,43.63567073
NYC,10006,1745,0,0,0,0,2149,21,9.771986971
NYC,10007,2781,12,4.314994606,0,0,3344,146,43.66028708
NYC,10009,29770,153,5.139402083,2,2,30082,632,21.00924141
NYC,10010,16050,276,17.19626168,0,0,15632,451,28.85107472
NYC,10011,29762,1392,46.77105033,5,4,27802,1300,46.75922595
NYC,10012,12470,136,10.90617482,0,0,11901,211,17.72960255
NYC,10013,11558,75,6.48901194,0,0,12230,151,12.34668847
NYC,10014,18786,594,31.61929096,10,10,17218,864,50.18004414
NYC,10016,28390,411,14.4769285,0,0,30235,380,12.56821564
NYC,10017,10157,33,3.248990844,1,1,9683,279,28.81338428
NYC,10018,4712,148,31.40916808,0,1,4783,252,52.68659837
NYC,10019,23146,544,23.50298108,8,10,26682,1180,44.22457087
NYC,10020,0,0,0,0,0,0,0,0
NYC,10021,23739,253,10.65756772,0,0,20953,296,14.12685534
NYC,10022,17892,186,10.39570758,2,2,18804,430,22.86747501
NYC,10023,32755,1067,32.57517936,0,0,37708,1142,30.28535059
NYC,10024,28675,546,19.04097646,0,0,30120,566,18.79150066
NYC,10025,43456,614,14.12923417,0,1,41334,619,14.97556491
NYC,10026,14527,152,10.46327528,0,1,15634,240,15.35115773
NYC,10027,22937,158,6.888433535,0,3,24856,394,15.85130351
NYC,10028,24941,152,6.094382743,0,1,26288,743,28.26384662
NYC,10029,30115,80,2.65648348,0,0,33660,316,9.387997623
NYC,10030,11891,123,10.34395762,0,0,13092,137,10.46440574
NYC,10031,21191,252,11.89184088,0,0,22499,386,17.15631806
NYC,10032,20243,80,3.951983402,0,0,21584,788,36.50852483
NYC,10033,19548,93,4.757519951,0,0,19973,357,17.87413008
NYC,10034,15462,114,7.372914241,0,0,15308,438,28.6124902
NYC,10035,12999,69,5.308100623,0,0,15655,183,11.68955605
NYC,10036,15455,527,34.09899709,8,7,18991,999,52.60386499
NYC,10037,9109,90,9.880338127,0,0,9982,222,22.24003206
NYC,10038,9780,93,9.509202454,1,0,10162,211,20.76362921
NYC,10039,10631,146,13.73342113,0,0,12966,126,9.717723276
NYC,10040,16002,155,9.686289214,0,0,15861,300,18.91431814
NYC,10044,4622,87,18.82302034,0,0,5175,50,9.661835749
NYC,10065,16742,168,10.03464341,0,0,16188,142,8.771929825
NYC,10069,2850,0,0,0,0,2934,97,33.06066803
NYC,10075,14145,60,4.241781548,0,0,11519,154,13.36921608
NYC,10103,0,0,0,0,0,0,0,0
NYC,10110,0,0,0,0,0,0,0,0
NYC,10111,0,0,0,0,0,0,0,0
NYC,10112,0,0,0,0,0,0,0,0
NYC,10115,0,0,0,0,0,0,0,0
NYC,10119,0,0,0,0,0,0,0,0
NYC,10128,31920,213,6.672932331,0,1,30601,545,17.80987549
NYC,10152,0,0,0,0,0,4,0,0
NYC,10153,0,0,0,0,0,0,0,0
NYC,10154,0,0,0,0,0,0,0,0
NYC,10162,671,46,68.55439642,0,0,751,0,0
NYC,10165,0,0,0,0,0,0,0,0
NYC,10167,0,0,0,0,0,0,0,0
NYC,10168,0,0,0,0,0,0,0,0
NYC,10169,0,0,0,0,0,0,0,0
NYC,10170,0,0,0,0,0,0,0,0
NYC,10171,0,0,0,0,0,0,0,0
NYC,10172,0,0,0,0,0,0,0,0
NYC,10173,0,0,0,0,0,0,0,0
NYC,10174,0,0,0,0,0,0,0,0
NYC,10177,0,0,0,0,0,0,0,0
NYC,10199,0,0,0,0,0,0,0,0
NYC,10271,0,0,0,0,0,0,0,0
NYC,10278,0,0,0,0,0,0,0,0
NYC,10279,0,0,0,0,0,84,0,0
NYC,10280,4588,49,10.68003487,0,0,4237,74,17.46518763
NYC,10282,2439,0,0,0,0,2353,9,3.824904377
NYC,10301,14063,41,2.915451895,0,0,14584,135,9.256719693
NYC,10302,6017,0,0,0,0,6056,0,0
NYC,10303,8029,3,0.373645535,0,0,8778,69,7.860560492
NYC,10304,14564,22,1.510574018,0,0,15738,91,5.782183251
NYC,10305,14931,71,4.755207287,0,0,15774,140,8.875364524
NYC,10306,20215,111,5.49097205,0,0,20073,68,3.387635132
NYC,10307,5110,13,2.544031311,0,0,5211,16,3.070427941
NYC,10308,10675,23,2.154566745,0,0,10510,20,1.902949572
NYC,10309,11052,29,2.623959464,0,0,12222,122,9.981999673
NYC,10310,8304,45,5.419075145,0,0,8921,52,5.828942944
NYC,10311,0,0,0,0,0,0,0,0
NYC,10312,21530,63,2.926149559,0,0,21549,67,3.109193002
NYC,10314,31294,93,2.971815684,0,0,31361,146,4.655463793
NYC,10451,18140,70,3.858875413,0,0,22376,133,5.94386843
NYC,10452,25432,86,3.38156653,0,0,28719,224,7.799714475
NYC,10453,26802,26,0.97007686,0,0,28279,54,1.909544185
NYC,10454,12790,0,0,0,0,15135,146,9.646514701
NYC,10455,14023,41,2.923768095,0,0,16587,132,7.958039428
NYC,10456,29255,90,3.076397197,0,0,32645,248,7.596875479
NYC,10457,23749,109,4.589666933,0,0,27686,250,9.029834573
NYC,10458,26349,77,2.922312042,0,0,29112,43,1.477054136
NYC,10459,15688,35,2.231004589,0,0,17982,157,8.730953175
NYC,10460,19776,59,2.983414239,0,0,22972,28,1.218875152
NYC,10461,19086,37,1.938593734,0,0,19420,156,8.032955716
NYC,10462,29345,75,2.55580167,0,0,29723,128,4.306429364
NYC,10463,27458,134,4.88018064,0,0,29349,408,13.90166616
NYC,10464,2024,22,10.86956522,0,0,1949,37,18.98409441
NYC,10465,15560,0,0,0,0,16372,93,5.680430002
NYC,10466,22891,70,3.057970381,0,0,24930,119,4.773365423
NYC,10467,35178,151,4.292455512,0,0,38372,450,11.72730116
NYC,10468,24631,61,2.476553936,0,0,28453,149,5.236706147
NYC,10469,22014,46,2.089579359,0,0,23582,68,2.883555254
NYC,10470,5747,33,5.742126327,0,0,6698,136,20.30456853
NYC,10471,8620,84,9.744779582,0,0,9331,63,6.751687922
NYC,10472,21303,17,0.79800967,0,0,22224,179,8.054355652
NYC,10473,20624,92,4.460822343,0,0,22839,76,3.327641315
NYC,10474,3613,6,1.660669803,0,0,3899,6,1.538856117
NYC,10475,18271,0,0,0,0,18821,172,9.138728017
NYC,10502,1859,0,0,0,0,1945,0,0
NYC,10503,106,0,0,0,0,75,18,240
NYC,10522,3685,0,0,0,0,3962,0,0
NYC,10523,2768,10,3.612716763,0,0,3180,24,7.547169811
NYC,10528,4472,39,8.720930233,0,0,5099,0,0
NYC,10530,5795,34,5.867126833,0,0,6409,110,17.16336402
NYC,10533,2555,0,0,0,0,2636,0,0
NYC,10543,7594,27,3.555438504,0,0,7630,26,3.407601573
NYC,10550,13308,21,1.577998197,0,0,14912,74,4.962446352
NYC,10552,8286,19,2.293024378,0,0,9470,141,14.88912355
NYC,10553,3320,8,2.409638554,0,0,3642,76,20.86765513
NYC,10573,12500,24,1.92,0,0,14412,158,10.96308632
NYC,10577,825,0,0,0,0,794,0,0
NYC,10580,5935,9,1.51642797,0,0,6213,72,11.58860454
NYC,10583,13702,79,5.765581667,0,0,14032,76,5.416191562
NYC,10591,8628,42,4.867872045,0,0,10245,45,4.39238653
NYC,10601,5327,0,0,0,0,5933,39,6.573403
NYC,10603,6729,45,6.687472136,0,0,7128,82,11.50392817
NYC,10604,3852,0,0,0,0,4517,23,5.091875138
NYC,10605,6777,22,3.246274163,0,0,8132,97,11.92818495
NYC,10606,5604,0,0,0,0,6759,61,9.025003699
NYC,10607,2079,4,1.924001924,0,0,2320,10,4.310344828
NYC,10701,21624,129,5.965593785,0,0,27547,154,5.590445421
NYC,10703,6988,13,1.860331998,0,0,7752,86,11.09391125
NYC,10704,12307,66,5.362801658,0,0,12166,116,9.534769028
NYC,10705,13572,26,1.915708812,0,0,15044,109,7.245413454
NYC,10706,3268,0,0,0,0,3468,101,29.12341407
NYC,10707,4094,7,1.709819248,0,0,4002,14,3.498250875
NYC,10708,9175,20,2.179836512,0,0,9549,198,20.73515551
NYC,10709,3621,35,9.665838166,0,0,3628,0,0
