businesses.name,businesses.location$address1,businesses.location$city,Zip_code,Neighborhood,businesses.location$country,businesses.location$state,businesses.display_phone,businesses.distance
Kremwerk,1809 Minor Ave,Seattle,98101,Downtown,US,WA,(206) 682-2935,1000.318
CC Attle's,1701 E Olive Way,Seattle,98102,Capitol Hill,US,WA,(206) 726-0565,1109.548
Changes In Wallingford,2103 N 45th St,Seattle,98103,Wallingford,US,WA,(206) 545-8363,3997.724
The Lumber Yard Bar,9630 16th Ave SW,Seattle,98106,White Center,US,WA,(206) 466-5278,12193.482
Diamond Drag Productions,721 E Pike St,Seattle,98122,Capitol Hill,US,WA,(951) 326-6493,1609.67
Diesel Seattle,1413 14th Ave,Seattle,98122,Capitol Hill,US,WA,(206) 322-1080,2073.204
Madison Pub,1315 E Madison St,Seattle,98122,Capitol Hill,US,WA,(206) 325-6537,2045.115
Massive,619 E Pine St,Seattle,98122,Capitol Hill,US,WA,,1454.898
Narwhal,1118 E Pike St,Seattle,98122,Capitol Hill,US,WA,(206) 325-6492,1847.988
Neighbours Nightclub,1509 Broadway,Seattle,98122,Capitol Hill,US,WA,(206) 420-2958,1628.706
Pony,1221 E Madison St,Seattle,98122,Capitol Hill,US,WA,(206) 324-2854,2015.985
Queer Bar,1518 11th Ave,Seattle,98122,Capitol Hill,US,WA,,1771.314
The Cherry Spot,2021 East James St,Seattle,98122,Capitol Hill,US,WA,(470) 253-4548,3038.655
The Crescent Lounge,1413 E Olive Way,Seattle,98122,Capitol Hill,US,WA,(206) 659-4476,1123.376
The Cuff Complex,1533 13th Ave,Seattle,98122,Capitol Hill,US,WA,(206) 323-1525,1855.969
The Seattle Eagle,314 E Pike St,Seattle,98122,Capitol Hill,US,WA,(206) 621-7591,1388.435
Union,1009 E Union St,Seattle,98122,Capitol Hill,US,WA,(206) 328-1318,1870.647
Wildrose,1021 E Pike St,Seattle,98122,Capitol Hill,US,WA,,1811.136
Baja Bistro,2710 Beacon Ave S,Seattle,98144,Beacon Hill,US,WA,(206) 207-9637,5456.2
Sirens,312 Naval Ave,Bremerton,98337,Bremerton,US,WA,(360) 405-5000,24223.83
,,,,,,,,
,,,,,,,,
