Metro,ZIP_code,2015_households_all,2015_same_sex_couples,2015_gay_couples_per_1000_household,2015_bars,2026_bars,2024_households_all,2024_same_sex_couples,2024_gay_couples_per_1000_household
Seattle,98001,11109,44,3.960752543,0,0,11982,124,10.34885662
Seattle,98002,12687,62,4.886892094,0,0,14269,99,6.938117598
Seattle,98003,17791,116,6.520150638,0,0,18786,314,16.71457468
Seattle,98004,15518,25,1.61103235,0,0,19515,187,9.582372534
Seattle,98005,7507,22,2.930598108,0,0,9097,134,14.73013081
Seattle,98006,13188,39,2.957233849,0,0,14084,92,6.53223516
Seattle,98007,10501,52,4.951909342,0,0,11673,24,2.056026728
Seattle,98008,9016,9,0.998225377,0,0,9431,153,16.22309405
Seattle,98011,12725,79,6.208251473,0,0,11964,141,11.78535607
Seattle,98012,20799,10,0.480792346,0,0,27903,417,14.94462961
Seattle,98020,8728,49,5.61411549,0,0,9017,185,20.5168016
Seattle,98021,10399,65,6.250601019,0,0,12378,128,10.34092745
Seattle,98023,17560,41,2.334851936,0,0,17752,135,7.604776927
Seattle,98026,14335,24,1.674223927,0,0,15500,135,8.709677419
Seattle,98027,10847,65,5.992440306,0,0,11804,192,16.26567265
Seattle,98028,8027,29,3.612806777,0,0,9396,170,18.09280545
Seattle,98029,10549,14,1.327140013,0,0,12115,100,8.254230293
Seattle,98030,11726,7,0.596964012,0,0,13113,129,9.837565774
Seattle,98031,12125,78,6.432989691,0,0,14011,218,15.55920348
Seattle,98032,13411,104,7.754828126,0,0,14675,114,7.768313458
Seattle,98033,15592,25,1.603386352,0,0,17400,300,17.24137931
Seattle,98034,17282,107,6.191413031,0,0,21726,269,12.38147841
Seattle,98036,14258,75,5.260204797,0,0,16575,216,13.03167421
Seattle,98037,10204,58,5.684045472,0,0,11259,41,3.641531219
Seattle,98038,12012,74,6.160506161,0,0,12618,24,1.902044698
Seattle,98039,1087,0,0,0,0,1010,26,25.74257426
Seattle,98040,9583,62,6.469790254,0,0,10068,104,10.32975765
Seattle,98042,15784,31,1.964014192,0,0,17144,210,12.24918339
Seattle,98043,8155,24,2.942979767,0,0,9843,132,13.41054557
Seattle,98052,24782,161,6.496650795,0,0,34177,421,12.31822571
Seattle,98053,7876,69,8.76079228,0,0,8327,58,6.965293623
Seattle,98055,8884,34,3.827104908,0,0,9648,117,12.12686567
Seattle,98056,13415,30,2.236302646,0,0,14493,192,13.24777479
Seattle,98057,5852,31,5.297334245,0,0,6228,47,7.546563905
Seattle,98058,15893,22,1.38425722,0,0,15516,377,24.29749936
Seattle,98059,13217,37,2.799424983,0,0,14520,215,14.80716253
Seattle,98070,4757,66,13.87429052,0,0,4180,157,37.55980861
Seattle,98072,8723,64,7.33692537,0,0,9487,151,15.91651734
Seattle,98074,8778,41,4.670767829,0,0,10272,55,5.354361371
Seattle,98075,7369,0,0,0,0,8158,87,10.66437852
Seattle,98077,4806,29,6.034124012,0,0,4743,24,5.060088552
Seattle,98087,12175,64,5.256673511,0,0,16575,361,21.77978884
Seattle,98101,7911,156,19.71937808,2,1,11722,336,28.6640505
Seattle,98102,14390,306,21.2647672,1,1,17489,753,43.05563497
